posX,posY,posZ,halfSizeX,halfSizeY,halfSizeZ
-6.595085,4.688539,157.1371,1,4.737075,1
-72.77533,4.553529,139.6002,0.5999985,5.215899,0.6000061
-77.85326,3.635066,136.8953,1,3.672696,1
-164.3611,3.285244,137.7676,0.6000061,3.763125,0.6000061
33.92526,0.7068877,163.8534,0.1202583,0.7072558,0.1284637
-82.43389,3.980251,150.2875,0.4899979,4.448515,0.4900055
105.0527,4.060022,152.5122,0.4899979,4.537672,0.4900055
38.49957,5.584208,163.2548,1,5.642015,1
-36.72735,3.79044,165.4771,0.4900017,4.236374,0.4900055
144.7966,4.379021,164.4204,0.4900055,4.894199,0.4900055
-122.7655,0.626282,161.2411,0.1536865,0.6266081,0.1577148
-16.89805,4.090043,160.1414,0.4899998,4.571224,0.4900055
-130.7094,3.526148,132.6113,1,3.562651,1
-92.97814,3.86628,149.3636,0.4899979,4.321136,0.4900055
-74.7448,4.35824,141.8539,1,4.403357,1
26.10428,0.4425126,162.6447,0.164072,0.4427431,0.1626434
-42.19828,3.662377,163.9612,0.5999985,4.195117,0.6000061
-145.2714,0.6097518,130.3801,0.1644135,0.6100693,0.1634216
-50.63292,4.937232,161.8797,1,4.988343,1
-67.04436,2.916374,149.6898,0.4899979,3.259477,0.4900055
119.9197,4.194169,162.6375,0.4899979,4.6876,0.4900055
-77.06585,0.5441827,147.6259,0.1348801,0.5444661,0.1416626
-6.390667,2.953203,149.638,0.6000004,3.382784,0.6000061
134.5331,0.7086629,160.4931,0.1335144,0.7090319,0.1404572
-117.9929,5.041654,144.2376,1,5.093845,1
8.055308,4.257859,150.0393,0.4900007,4.758784,0.4900055
50.73562,3.189486,162.7272,0.4900017,3.564719,0.4900055
-27.28446,0.4618698,135.2621,0.1212616,0.4621103,0.1293793
90.98651,3.377473,155.1921,0.5999985,3.86877,0.6000061
-60.08056,4.85281,164.734,0.6000023,5.558714,0.6000061
-92.80342,3.014051,160.7923,0.4899979,3.368645,0.4900055
-56.03457,0.4563656,152.8073,0.151329,0.4566033,0.1459656
-15.86066,4.821855,151.5741,0.6000004,5.523255,0.6000061
-153.1735,5.446433,160.4962,1,5.502815,1
95.15536,3.260549,163.169,0.4899979,3.644143,0.4900055
-121.8798,3.619679,162.0624,0.4899979,4.045524,0.4900055
-51.09292,3.710711,158.3334,0.4900017,4.147264,0.4900055
-44.48932,4.408571,161.8644,1,4.454208,1
-158.8558,5.08635,160.4085,1,5.139005,1
160.6211,4.191011,146.8576,0.6000061,4.800648,0.6000061
-11.53228,2.425202,153.8234,0.4899998,2.71052,0.4900055
-155.0695,3.265337,129.2498,0.4900055,3.649494,0.4900055
48.35745,2.869404,159.4254,0.5999985,3.286796,0.6000061
17.26216,3.166587,153.4634,0.6000004,3.627208,0.6000061
-74.69659,3.651928,158.8458,0.4899979,4.081566,0.4900055
35.21471,0.4658706,161.9756,0.1248856,0.4661132,0.1163635
-111.2838,5.716761,141.1543,1,5.77594,1
-50.39802,3.644841,135.4915,1,3.682572,1
-79.63532,3.020797,143.1116,0.4899979,3.376185,0.4900055
-69.95802,3.353863,138.1901,0.4899979,3.748435,0.4900055
-129.4573,0.7159935,141.3103,0.1512909,0.7163664,0.155777
-82.97155,0.6854984,147.654,0.1645279,0.6858554,0.1641998
-127.1936,4.594635,132.447,1,4.642199,1
-87.21709,2.818388,130.859,0.4899979,3.149963,0.4900055
147.2629,4.753422,146.4641,0.6000061,5.444868,0.6000061
-117.7982,6.177214,144.4399,1,6.241161,1
-66.59618,5.998739,145.84,1,6.060839,1
-41.77443,3.171279,156.8022,0.4900017,3.544371,0.4900055
-78.13422,4.350063,158.8948,0.4899979,4.861836,0.4900055
55.20684,3.539636,140.8056,0.6000023,4.054522,0.6000061
-28.26998,5.205353,162.0485,1,5.259239,1
-29.87823,4.812549,150.0021,0.6000004,5.512595,0.6000061
-63.86374,3.234717,137.2557,0.4900017,3.615272,0.4900055
-44.81166,0.4755458,156.8283,0.1364632,0.4757934,0.1430664
-0.01905946,0.5274804,156.3889,0.1638633,0.527755,0.1622467
-50.94773,3.513714,153.6425,0.4900017,3.927093,0.4900055
115.2465,3.548397,147.7129,0.4899979,3.965855,0.4900055
-67.79701,3.387559,164.1976,0.5999985,3.880323,0.6000061
-114.1114,3.081557,133.8068,0.4899979,3.444093,0.4900055
-55.80451,0.6595312,157.0054,0.1532326,0.6598746,0.1482239
-99.40244,3.507928,130.5911,1,3.544242,1
-137.9636,4.144063,161.8066,0.4900055,4.6316,0.4900055
-61.05437,3.552739,152.673,0.4900017,3.970709,0.4900055
-48.15298,3.946666,137.7128,0.5999985,4.52076,0.6000061
135.093,4.713839,152.1574,0.6000061,5.399527,0.6000061
82.76617,0.5152569,161.7316,0.1536331,0.5155252,0.1576691
144.3515,0.7252724,144.0609,0.1465149,0.7256501,0.1403809
6.484648,3.435918,154.8187,1,3.471487,1
165.0775,6.191218,154.9163,1,6.255311,1
125.6143,3.875428,162.5147,0.5999985,4.439158,0.6000061
134.135,0.6392002,152.5055,0.1615906,0.639533,0.1587524
-113.452,3.439818,131.6234,0.5999985,3.940185,0.6000061
99.33961,3.84375,140.6851,0.5999985,4.402874,0.6000061
-153.8533,3.767633,150.3025,0.4900055,4.210885,0.4900055
-160.8296,0.5857107,134.0915,0.1551056,0.5860158,0.1504822
-147.3499,4.250368,133.937,0.4900055,4.750411,0.4900055
-165.7538,4.99015,137.6912,1,5.041809,1
-164.9553,2.72283,53.86047,1.544678,2.72283,4.024292
150.2402,2.72283,91.13599,7.64209,2.72283,17.31665
-160.4026,3.267395,-150.5248,6.097412,3.267395,10.203
107.1519,3.811961,-138.8584,20.4873,3.811961,8.780273
39.42993,3.811961,-129.7529,13.08911,3.811961,6.016113
-34.552,4.356527,86.17676,6.097412,4.356527,12.84521
32.51953,4.356527,57.64087,18.21094,4.356527,6.26001
102.3552,4.901093,40.32422,14.22729,4.901093,6.016113
106.5015,4.901093,30.16187,11.54443,4.901093,5.772217
42.35669,4.901093,90.0791,5.772217,4.901093,13.9834
74.06323,4.901093,91.54248,5.447021,4.901093,13.8208
32.11304,4.901093,89.10352,5.447021,4.901093,13.8208
84.30688,4.901093,92.43677,5.772217,4.901093,13.7395
53.33203,4.901093,90.323,5.853516,4.901093,13.5769
36.09668,4.901093,36.50317,21.1377,4.901093,6.422607
95.36353,4.901093,92.51807,5.934814,4.901093,13.49561
63.65698,4.901093,91.29858,5.609619,4.901093,14.0647
-96.74561,4.901093,7.885986,16.91016,4.901093,6.26001
-100.4854,4.901093,28.94238,13.6582,4.901093,6.178711
-28.86109,4.901093,43.65747,16.50366,4.901093,5.934814
-65.77075,4.901093,85.85156,5.934814,4.901093,13.49561
-76.0144,4.901093,80.89233,6.26001,4.901093,17.15405
-55.03931,4.901093,82.11182,5.934814,4.901093,14.63379
-44.79565,4.901093,82.59961,5.934814,4.901093,16.91016
-41.05591,4.901093,-4.87793,9.02417,4.901093,11.38184
-18.12964,4.901093,-4.064941,9.02417,4.901093,11.38184
158.8579,4.901093,-60.68958,7.64209,4.901093,5.650269
116.176,4.901093,-125.3628,9.837158,4.901093,5.690918
109.5908,4.901093,-50.16138,11.54443,4.901093,6.422607
110.4851,4.901093,-94.06274,14.38989,4.901093,5.772217
109.8347,4.901093,-115.2004,16.66626,4.901093,6.097412
39.34863,4.901093,-119.2654,15.12158,4.901093,5.934814
66.17725,4.901093,-46.17773,5.690918,4.901093,9.593262
34.7959,4.901093,-98.29028,9.918457,4.901093,5.772217
-22.68237,4.901093,-80.89233,17.31665,4.901093,5.934814
-86.98975,4.901093,-94.71313,20.8125,4.901093,6.26001
-14.79639,4.901093,-111.6233,10.56885,4.901093,5.609619
-13.7395,4.901093,-122.2734,11.13794,4.901093,5.853516
71.21777,5.445659,-132.2732,6.178711,5.445659,16.34106
155.5247,5.445659,63.94153,10.97534,5.445659,5.731567
155.4434,5.445659,53.33203,9.755859,5.445659,5.853516
156.5815,5.445659,32.27563,9.918457,5.445659,5.609619
161.5408,5.445659,94.79443,4.959229,5.445659,15.93457
-154.3052,5.445659,-70.81128,12.19482,5.445659,6.26001
157.2319,5.445659,42.68188,9.268066,5.445659,5.772217
63.98218,5.445659,3.739746,5.934814,5.445659,14.146
103.4121,5.445659,61.21802,13.00781,5.445659,5.772217
98.20898,5.445659,50.40527,14.79639,5.445659,5.853516
74.22583,5.445659,4.064941,5.772217,5.445659,13.9834
103.7373,5.445659,19.51172,15.12158,5.445659,5.853516
19.91821,5.445659,83.81909,8.211182,5.445659,20.08081
108.29,5.445659,89.34741,8.29248,5.445659,19.26782
30.56836,5.445659,46.90942,14.95898,5.445659,5.934814
-98.69678,5.445659,18.94263,16.09717,5.445659,5.609619
-61.29932,5.445659,-3.170654,11.70703,5.445659,15.52808
-29.34888,5.445659,12.52002,19.26782,5.445659,5.365723
-153.8174,5.445659,-81.82727,12.68262,5.445659,5.731567
-153.4109,5.445659,-92.03027,13.08911,5.445659,6.016113
157.801,5.445659,-36.99097,8.698975,5.445659,8.536377
109.916,5.445659,-61.78711,13.00781,5.445659,6.341309
109.3469,5.445659,-104.7129,16.66626,5.445659,5.853516
111.1355,5.445659,-72.84375,12.27612,5.445659,5.690918
106.7454,5.445659,-37.88525,15.36548,5.445659,7.316895
37.31616,5.445659,-77.15259,11.13794,5.445659,5.772217
-157.0693,5.445659,34.4707,9.430664,5.445659,5.52832
110.0786,5.445659,-83.4939,15.60938,5.445659,5.934814
76.74609,5.445659,-45.93384,5.690918,5.445659,9.999756
38.69824,5.445659,-87.64014,12.84521,5.445659,5.690918
36.01538,5.445659,-66.82764,10.32495,5.445659,5.690918
-17.56055,5.445659,-101.6235,11.86963,5.445659,5.365723
-15.12158,5.445659,-146.1753,13.8208,5.445659,8.455078
-21.95068,5.445659,-59.51074,15.12158,5.445659,5.853516
-13.9021,5.445659,-132.9236,10.32495,5.445659,5.772217
-20.9751,5.445659,-91.21729,16.42236,5.445659,6.016113
-151.9475,5.445659,-123.4116,13.5769,5.445659,5.853516
-52.35645,5.445659,-53.65723,5.853516,5.445659,13.8208
-95.36353,5.445659,-84.63208,9.186768,5.445659,5.447021
-100.8918,5.990225,50.16138,14.87769,5.990225,6.097412
101.3796,5.990225,-3.170654,20.40601,5.990225,7.235596
-152.8418,5.990225,-113.1273,13.6582,5.990225,6.138062
37.96655,5.990225,-6.422607,21.38159,5.990225,7.398193
-87.72144,5.990225,85.03857,6.26001,5.990225,12.35742
-147.5574,5.990225,-133.9805,9.837158,5.990225,5.853516
-26.90991,5.990225,33.08862,15.52808,5.990225,5.934814
158.1262,5.990225,-50.20203,8.373779,5.990225,5.56897
-99.18457,5.990225,84.38818,6.503906,5.990225,12.35742
-22.43848,5.990225,54.63281,10.40625,5.990225,5.690918
-111.2981,5.990225,83.4939,6.9104,5.990225,12.43872
-153.4109,5.990225,-102.5178,13.08911,5.990225,6.097412
-25.85303,5.990225,22.60107,13.6582,5.990225,6.178711
-102.1926,5.990225,60.81152,14.55249,5.990225,6.178711
81.70532,5.990225,-134.3057,5.772217,5.990225,13.6582
158.4514,5.990225,3.251953,8.048584,5.990225,7.967285
31.13745,5.990225,15.20288,13.9021,5.990225,5.772217
30.48706,5.990225,25.52783,14.0647,5.990225,6.016113
31.78784,5.990225,4.796631,13.9021,5.990225,5.934814
-62.84399,5.990225,-55.03931,5.934814,5.990225,13.41431
-94.30664,5.990225,-74.38843,13.33301,5.990225,5.609619
-57.55957,5.990225,-145.5249,5.52832,5.990225,11.86963
-23.65796,5.990225,-70.24219,16.82886,5.990225,6.178711
-156.9067,5.990225,23.98315,9.593262,5.990225,5.934814
-156.5815,5.990225,13.33301,9.918457,5.990225,5.853516
-26.66602,5.990225,-46.01514,21.1377,5.990225,9.268066
-83.90039,5.990225,-150.3215,20.8125,5.990225,9.186768
-154.793,5.990225,-49.83618,11.70703,5.990225,5.934814
105.1194,6.534791,8.780273,14.38989,6.534791,5.853516
-96.50171,6.534791,39.83643,19.10522,6.534791,6.341309
-21.38159,6.534791,82.51831,8.373779,6.534791,18.78003
158.9392,6.534791,-71.09583,7.560791,6.534791,5.487671
159.5896,6.534791,-81.70532,6.9104,6.534791,5.772217
33.49512,6.534791,-56.25879,12.68262,6.534791,6.016113
40.08032,6.534791,-41.9502,20.8938,6.534791,9.593262
43.82007,6.534791,-142.9233,19.43042,6.534791,8.942871
-156.2563,6.534791,2.76416,10.24365,6.534791,5.853516
-155.2808,6.534791,-39.51123,11.21924,6.534791,5.52832
-154.3052,6.534791,-60.56763,12.19482,6.534791,5.609619
-93.33105,7.079357,-8.129883,19.67432,7.079357,12.03223
-155.6873,7.079357,-7.560791,10.81274,7.079357,5.934814
39.10474,7.079357,-108.6965,15.36548,7.079357,6.097412
-155.0369,7.623923,-28.73914,11.46313,7.623923,5.975464
-155.8499,7.623923,-18.53613,10.65015,7.623923,5.52832
-89.59131,1.633698,-54.95801,21.46289,1.633698,14.79639
-89.02222,1.633698,-110.8916,15.69067,1.633698,10.73145
-87.47754,1.633698,-131.6228,16.09717,1.633698,11.30054
157.7197,1.633698,19.91821,8.780273,1.633698,7.723389
161.3782,1.633698,-120.6881,5.121826,1.633698,23.69861
-143.0046,5.990225,-151.0532,11.78833,5.990225,10.56885
-48.04761,1.633698,-138.7771,6.097412,1.633698,17.96704
-333,0,333,166.5,0,166.5
-234.8661,0.69293,495.4246,0.1335449,0.6932908,0.1404724
-486.2101,4.037544,199.8949,0.6000061,4.624857,0.6000061
-240.2574,0.4345854,243.4214,0.1495667,0.4348117,0.1543579
-413.1183,5.829076,202.9554,1,5.889419,1
-177.3595,5.735106,437.5722,1,5.794476,1
-235.3531,3.235817,190.2942,0.4900055,3.616501,0.4900055
-211.335,3.115839,464.2623,0.6000061,3.569077,0.6000061
-371.8047,5.409088,444.1414,1,5.465083,1
-340.4314,0.5845249,274.4544,0.1568604,0.5848293,0.1526184
-306.1795,4.526313,424.2166,0.6000061,5.184724,0.6000061
-443.5404,0.575058,203.7381,0.1621094,0.5753575,0.1637878
-205.0342,3.430903,436.363,1,3.46642,1
-385.2679,4.21224,219.4042,1,4.255846,1
-222.5845,3.925461,384.5322,0.6000061,4.496469,0.6000061
-175.0536,4.475053,327.2134,1,4.521379,1
-383.0699,4.450895,435.7397,1,4.496971,1
-401.4385,3.993095,445.6079,0.4899902,4.462871,0.4899902
-366.3613,0.6908069,197.0046,0.1166992,0.6911667,0.1251831
-262.6462,3.258875,326.9184,0.4899902,3.642272,0.4899902
-286.9835,4.290089,420.4343,0.4899902,4.794805,0.4899902
-450.2147,3.924731,457.093,0.4899902,4.386464,0.4899902
-353.1972,0.5339431,315.7231,0.1306152,0.5342212,0.1226196
-287.5577,0.6573434,226.3943,0.1146545,0.6576858,0.1233063
-198.03,4.676512,309.3468,0.6000061,5.356771,0.6000061
-207.2866,3.207924,311.1912,0.4900055,3.585327,0.4899902
-392.9952,4.976067,224.2159,1,5.02758,1
-363.9562,4.961601,216.2152,1,5.012964,1
-325.6354,0.4438272,317.5711,0.1535645,0.4440583,0.1485901
-289.941,0.5799806,308.3249,0.1642151,0.5802827,0.1629639
-212.3441,0.6265251,396.7617,0.1617889,0.6268514,0.1636047
-206.265,0.581375,274.8141,0.1621246,0.5816778,0.1595154
-198.4988,3.943023,411.5487,1,3.983841,1
-322.2473,4.382436,263.7766,0.4899902,4.898016,0.4899902
-330.5616,4.658165,243.7219,1,4.706387,1
-228.4817,3.634229,205.403,0.4900055,4.061785,0.4900055
-346.8613,0.7469676,325.6889,0.1390076,0.7473566,0.1453247
-275.6454,3.976432,477.6133,0.4899902,4.444249,0.4899902
-487.6095,4.919445,459.6249,1,4.970371,1
-252.7032,3.469901,296.0096,0.6000061,3.974642,0.6000061
-427.9249,2.406272,328.3329,0.4899902,2.689363,0.4899902
-406.329,3.716893,413.3206,0.6000061,4.257563,0.6000061
-339.6415,5.460769,396.5763,1,5.517299,1
-487.733,3.197207,232.6559,0.4899902,3.573349,0.4900055
-400.272,3.319236,319.8759,0.4899902,3.709734,0.4899902
-361.3049,4.258632,417.6074,1,4.302717,1
-467.0119,0.6094491,180.4144,0.1403503,0.6097665,0.1333771
-432.8165,0.4071032,251.6397,0.1574097,0.4073153,0.1605988
-173.8583,2.929898,355.2305,0.4900055,3.274591,0.4899902
-200.7682,3.46156,196.5149,0.6000061,3.965088,0.6000061
-178.939,0.5833228,392.2195,0.1580811,0.5836266,0.1611023
-280.8335,4.053013,203.104,0.6000061,4.642575,0.6000061
-302.1298,2.684099,351.4476,0.6000061,3.074535,0.6000061
-269.8388,0.7218403,309.8778,0.1604919,0.7222162,0.1627808
-474.4869,0.5943021,380.8395,0.1254272,0.5946115,0.1169434
-433.0538,2.566723,197.6128,0.4899902,2.868691,0.4900055
-352.6259,2.415732,259.2524,0.4899902,2.699936,0.4899902
-185.2392,0.5679363,276.343,0.1396179,0.5682321,0.1325684
-372.4902,0.7148467,189.3183,0.1637268,0.715219,0.164505
-366.4221,3.52526,381.364,0.4899902,3.939996,0.4899902
-441.1881,3.471582,268.3785,0.4899902,3.880003,0.4899902
-341.1986,3.051737,179.8583,0.6000061,3.495651,0.6000061
-379.2843,2.895802,174.6779,0.6000061,3.317034,0.6000061
-313.5951,3.932311,425.0324,0.6000061,4.504316,0.6000061
-466.1535,3.746748,479.9313,1,3.785535,1
-237.3035,4.51685,243.8544,1,4.563608,1
-355.9319,3.193965,476.0009,0.4899902,3.569725,0.4899902
-303.4331,3.619999,235.5816,0.4899902,4.045882,0.4900055
-368.0826,4.152445,267.0297,0.6000061,4.756472,0.6000061
-321.5883,4.018962,416.2113,0.6000061,4.60357,0.6000061
-371.355,3.129879,304.3206,0.6000061,3.585161,0.6000061
-363.3121,3.79601,354.4395,0.4899902,4.242599,0.4899902
-423.2952,3.005018,427.9588,0.6000061,3.442136,0.6000061
-195.0435,2.630451,232.1282,0.4900055,2.939916,0.4900055
-184.302,6.097364,410.013,1,6.160484,1
-298.0562,5.787976,359.0773,1,5.847894,1
-322.6149,0.6772789,303.4257,0.1640625,0.6776316,0.1645508
-267.7322,5.009932,339.436,1,5.061795,1
-356.0403,3.031897,365.2298,0.4899902,3.388591,0.4899902
-424.3786,3.811186,173.0496,0.4899902,4.259561,0.4900055
-262.5411,5.05223,220.0197,1,5.10453,1
-221.0497,3.600314,395.0161,1,3.637584,1
-300.157,3.768097,220.3255,1,3.807105,1
-403.7043,3.778077,191.5835,1,3.817188,1
-189.3768,2.757033,307.3697,0.6000061,3.158079,0.6000061
-243.107,0.4070336,259.9193,0.1643219,0.4072456,0.1631775
-337.1433,4.682424,175.4921,0.6000061,5.363542,0.6000061
-440.7875,0.5315875,468.562,0.1597595,0.5318643,0.1622925
-423.0565,3.542937,410.2227,0.4899902,3.959753,0.4899902
-411.0015,0.6052061,227.9774,0.1591492,0.6055213,0.1555023
-404.7465,3.546951,237.8828,0.4899902,3.964239,0.4900055
-441.777,4.318853,228.2283,0.4899902,4.826953,0.4900055
-477.9497,3.972888,416.0298,1,4.014016,1
-169.1637,0.4834731,435.2593,0.1261444,0.4837249,0.1338196
-470.3095,3.685711,485.1296,0.4899902,4.119324,0.4899902
-312.1062,4.070323,352.7316,0.6000061,4.662405,0.6000061
-260.0786,4.137685,361.4064,0.6000061,4.739566,0.6000061
-244.3949,2.743635,337.272,0.4900055,3.066415,0.4899902
-236.6302,5.389748,189.0955,1,5.445543,1
-176.1534,4.253909,197.4335,0.4900055,4.754371,0.4900055
-211.7219,3.922493,364.6844,1,3.963099,1
-342.2924,0.6360828,265.4776,0.1635742,0.6364141,0.1644592
-275.7324,4.755988,263.9873,0.6000061,5.447808,0.6000061
-347.7506,0.6488964,402.3468,0.1444092,0.6492344,0.13797
-414.2192,4.331135,493.948,0.4899902,4.840681,0.4899902
-304.827,0.7119014,298.4762,0.1340027,0.7122721,0.1408997
-391.687,3.280027,478.3419,0.4899902,3.665912,0.4899902
-186.6633,0.412403,302.7368,0.1644592,0.4126178,0.1643677
-428.8354,3.741144,251.476,0.4899902,4.181279,0.4900055
-171.2144,0.58833,287.3442,0.151123,0.5886363,0.1556396
-434.3586,2.696662,355.8835,0.6000061,3.088926,0.6000061
-413.1398,0.5955082,390.9453,0.1594543,0.5958184,0.1620789
-180.0117,0.7355801,173.3414,0.1636353,0.7359632,0.16185
-258.7948,0.4395082,406.4094,0.1292725,0.4397371,0.1211548
-419.8825,3.62931,368.2993,0.6000061,4.157239,0.6000061
-254.4646,3.140878,239.525,0.6000061,3.597759,0.6000061
-341.4957,5.588314,167.3955,1,5.646165,1
-445.2122,0.6575636,337.8058,0.131012,0.6579059,0.1230469
-179.6346,2.920486,402.7495,0.6000061,3.345308,0.6000061
-188.9379,4.740526,411.5644,0.6000061,5.430098,0.6000061
